chromosome	start	end	segVal	sample
7	38358956	49014630	5.21994960938596	TCGA-02-2485
7	49015314	52246309	14.1534370627304	TCGA-02-2485
7	52247534	52654261	82.9981838945117	TCGA-02-2485
7	52654649	53928380	15.8770790610813	TCGA-02-2485
7	53929081	54440613	7.70332928253359	TCGA-02-2485
7	54442785	54781223	15.8986495562094	TCGA-02-2485
7	54788690	55342950	89.0804976085225	TCGA-02-2485
7	55349464	56088001	14.4244229231543	TCGA-02-2485
7	56090878	56393852	83.6455852468242	TCGA-02-2485
7	56479241	56603478	15.4523877311234	TCGA-02-2485
7	56610656	56823372	79.5966000417184	TCGA-02-2485
7	56833052	159119220	5.65178321449795	TCGA-02-2485
8	161222	127846474	4.14119618617108	TCGA-02-2485
8	127847973	146293414	3.88706712738394	TCGA-02-2485
9	46431	44900526	3.97152694342746	TCGA-02-2485
9	68151440	141071475	4.03128801553964	TCGA-02-2485
10	104427	135434551	2	TCGA-02-2485
11	198510	36890100	3.95622181036874	TCGA-02-2485
11	36890260	134944770	4.0048758594486	TCGA-02-2485
12	180185	57592557	4.02521247642954	TCGA-02-2485
12	57622821	58321650	38.8960221810779	TCGA-02-2485
12	58323876	59145479	28.3842374770472	TCGA-02-2485
12	59148639	59728782	39.1197978196125	TCGA-02-2485
12	59733704	133777645	4.01078942588336	TCGA-02-2485
13	19029568	115106996	4.14839606338594	TCGA-02-2485
14	20203125	22537377	4.09311252024858	TCGA-02-2485
14	22545787	22971265	6.8965049032703	TCGA-02-2485
14	22971591	107285437	4.02906531750614	TCGA-02-2485
15	20071673	102400037	4.0454013414737	TCGA-02-2485
16	86671	35205717	3.95947138701392	TCGA-02-2485
16	46507944	90163275	4.05284165297098	TCGA-02-2485
17	6689	81049726	4.09909581659892	TCGA-02-2485
18	99319	78015057	4.23274724557782	TCGA-02-2485
19	260912	59095126	6.02369308831566	TCGA-02-2485
20	61795	62912463	3.95519630828442	TCGA-02-2485
21	11001104	48084820	4.1737277121235	TCGA-02-2485
22	16055070	51219006	4.00031922389174	TCGA-02-2485
X	169805	155233925	3.93336162777465	TCGA-02-2485
1	565400	32664866	2.27697347642716	TCGA-04-1331
1	32677212	45934562	4.19058225651147	TCGA-04-1331
1	45935056	55445562	6.3787929416211	TCGA-04-1331
1	55449273	121291080	4.10661855647706	TCGA-04-1331
1	142702814	167643129	4.18439300491212	TCGA-04-1331
1	167643184	172458743	4.8339475706944	TCGA-04-1331
1	172462676	172632057	9.1130557931592	TCGA-04-1331
1	172633975	172740805	9.21188602044753	TCGA-04-1331
1	172740954	172902366	9.43445611840953	TCGA-04-1331
1	172909392	200938029	5.92259467343797	TCGA-04-1331
1	200945757	205055949	6.63846421677141	TCGA-04-1331
1	205056301	214928175	6.03418516194472	TCGA-04-1331
1	214938359	218890658	7.76676016061009	TCGA-04-1331
1	218890747	249198692	8.76855877909473	TCGA-04-1331
2	15703	43412033	3.95102110969354	TCGA-04-1331
2	43413173	44377603	2	TCGA-04-1331
2	44378394	108863650	3.95911069256264	TCGA-04-1331
2	108873433	113017065	2.98117341654914	TCGA-04-1331
2	113026189	119243406	3.97593858798844	TCGA-04-1331
2	119250430	119305178	1.61608699835579	TCGA-04-1331
2	119307659	194389174	3.89879200605762	TCGA-04-1331
2	194390177	221161333	5.86885742409887	TCGA-04-1331
2	221161465	243048760	3.90925140622916	TCGA-04-1331
3	69244	18990527	2.10520801624112	TCGA-04-1331
3	18993584	145307814	4.13598711113674	TCGA-04-1331
3	145325196	197846636	6.15384007925271	TCGA-04-1331
4	68911	1716693	2.20431107620515	TCGA-04-1331
4	1720346	1729425	2.88909941631767	TCGA-04-1331
4	1733550	58342184	3.13656543385963	TCGA-04-1331
4	58349889	117596143	2	TCGA-04-1331
4	117597177	117703115	1.86442990807852	TCGA-04-1331
4	117707366	151379427	5.11783216668764	TCGA-04-1331
4	151397759	190921709	2.4760749731908	TCGA-04-1331
5	28949	24809567	4.83336713839849	TCGA-04-1331
5	24815139	46383335	3.83899357466006	TCGA-04-1331
5	49560859	172715409	2	TCGA-04-1331
5	172722366	180696889	4.22584154545289	TCGA-04-1331
6	203249	1988924	5.4901006592181	TCGA-04-1331
6	1989604	2121847	2.11183943656116	TCGA-04-1331
6	2123744	2395054	8.41940516437292	TCGA-04-1331
6	2396897	4221686	5.1351982208778	TCGA-04-1331
6	4229688	4310398	7.4968661465493	TCGA-04-1331
6	4317398	4323299	5.7143293655977	TCGA-04-1331
6	4336456	5189727	8.68423944333924	TCGA-04-1331
6	5193613	6331610	7.09470909318926	TCGA-04-1331
6	6331873	6819227	5.57210017180387	TCGA-04-1331
6	6820607	10523733	2	TCGA-04-1331
6	10528218	10629684	5.47064234354642	TCGA-04-1331
6	10635421	12704642	2	TCGA-04-1331
6	12718156	19737175	4.87599212019364	TCGA-04-1331
6	19739943	20580893	8.34195494075746	TCGA-04-1331
6	20585140	24278869	5.06391487373964	TCGA-04-1331
6	24279076	99622627	3.5517253182705	TCGA-04-1331
6	99629096	127113874	2	TCGA-04-1331
6	127115454	142875692	3.5289136480179	TCGA-04-1331
6	142875919	149055277	4.0472175226122	TCGA-04-1331
6	149072811	170918031	2	TCGA-04-1331
7	43259	6199072	2.2292157318303	TCGA-04-1331
7	6208369	127284044	3.94680997188828	TCGA-04-1331
7	127284400	159119220	4.02189379581876	TCGA-04-1331
8	161222	20134377	3.61115390509952	TCGA-04-1331
8	20136267	38866218	3.61627169417134	TCGA-04-1331
8	38882317	103727429	4.04038655643646	TCGA-04-1331
8	103730879	103789455	4.8095599524742	TCGA-04-1331
8	103791669	104292965	6.37311348743718	TCGA-04-1331
8	104320928	140501052	4.04428486018512	TCGA-04-1331
8	140501230	146293414	4.56983343443562	TCGA-04-1331
9	46431	10504304	5.03116708128492	TCGA-04-1331
9	10505619	44900526	4.05990722150212	TCGA-04-1331
9	68151440	119653579	3.94034154704454	TCGA-04-1331
9	119659517	122573241	5.67667887093811	TCGA-04-1331
9	122577789	129473302	6.35410802795841	TCGA-04-1331
9	129473576	141071475	4.435060710769	TCGA-04-1331
10	104427	2263125	2	TCGA-04-1331
10	2267314	22421698	5.71846632955178	TCGA-04-1331
10	22422632	48552551	3.93113462015532	TCGA-04-1331
10	48553511	48654942	5.68938411534052	TCGA-04-1331
10	48655350	70565776	3.79357007950798	TCGA-04-1331
10	70568009	71974575	4.22716912057298	TCGA-04-1331
10	71985733	89621061	2.17703078445463	TCGA-04-1331
10	89674157	90254417	0.0225517208913067	TCGA-04-1331
10	90265464	110812973	2.10125146587518	TCGA-04-1331
10	110823083	111750764	5.75064929712322	TCGA-04-1331
10	111754787	135434551	4.92262098300211	TCGA-04-1331
11	198510	77151221	2.13979319823273	TCGA-04-1331
11	77171649	134944770	2	TCGA-04-1331
12	180185	58329820	4.04172153911402	TCGA-04-1331
12	58332351	83447538	3.95291820221694	TCGA-04-1331
12	83447667	86151467	3.50110960555562	TCGA-04-1331
12	86159687	86350988	2.11595049513629	TCGA-04-1331
12	86352428	116026214	3.63071096710796	TCGA-04-1331
12	116026433	133777645	3.99766869834224	TCGA-04-1331
13	19029568	55678936	2	TCGA-04-1331
13	55679196	115106996	4.0627865894412	TCGA-04-1331
14	20203125	107285437	4.03531717063068	TCGA-04-1331
15	20071673	22777875	2.88730115620907	TCGA-04-1331
15	22784067	86306378	2.11065241825092	TCGA-04-1331
15	86310020	93404291	4.07290051902139	TCGA-04-1331
15	93412778	102400037	5.997381636237	TCGA-04-1331
16	86671	4104389	2.35983095530013	TCGA-04-1331
16	4104472	35205717	2.76131656257682	TCGA-04-1331
16	46507944	83664226	2.62914829900229	TCGA-04-1331
16	83664336	90163275	2.27177716110316	TCGA-04-1331
17	6689	34416537	2.10551585906072	TCGA-04-1331
17	34424375	40797461	2.52985505558111	TCGA-04-1331
17	40808069	51797062	3.37546607495485	TCGA-04-1331
17	51800597	81049726	5.77114566407274	TCGA-04-1331
18	99319	55863159	3.85837312553136	TCGA-04-1331
18	55865236	78015057	5.67030105617746	TCGA-04-1331
19	260912	6140754	2.35417040618164	TCGA-04-1331
19	6141137	59095126	3.94485707163992	TCGA-04-1331
20	61795	23938370	5.1220177810523	TCGA-04-1331
20	23938591	55863873	4.18499436876972	TCGA-04-1331
20	55868734	59928005	5.89518894575081	TCGA-04-1331
20	59928237	62912463	6.67275124140814	TCGA-04-1331
21	11001104	44360280	3.97930540647312	TCGA-04-1331
21	44361310	46807290	4.4469445187916	TCGA-04-1331
21	46807499	48084820	2.12780764186235	TCGA-04-1331
22	16055070	51219006	2.21324003038326	TCGA-04-1331
X	169805	12134724	2	TCGA-04-1331
X	12135218	95849810	3.96857997728376	TCGA-04-1331
X	95858939	130256577	3.02635134063957	TCGA-04-1331
X	130268621	130331814	1.04811829748813	TCGA-04-1331
X	130331941	131837079	3.03423882094914	TCGA-04-1331
X	131838176	132011398	2.27245763830745	TCGA-04-1331
X	132022987	155233925	3.02425417724472	TCGA-04-1331
1	565400	5989929	4.31912229947956	TCGA-04-1347
1	5989981	25043881	3.89601572839088	TCGA-04-1347
1	25044111	48282520	4.66744154564255	TCGA-04-1347
1	48282584	50809974	5.49771467835218	TCGA-04-1347
1	50814731	56046405	4.70735422302647	TCGA-04-1347
1	56047538	69022171	5.1097862973778	TCGA-04-1347
1	69023256	84328629	5.49396301894332	TCGA-04-1347
1	84329235	91149929	4.98539793247406	TCGA-04-1347
1	91155690	94596831	5.77803960887198	TCGA-04-1347
1	94596867	97177244	6.70212623443826	TCGA-04-1347
1	97196484	103118942	6.98942638259256	TCGA-04-1347
1	103128845	108662219	7.74083552966184	TCGA-04-1347
1	108663361	114899852	6.44840056804174	TCGA-04-1347
1	114900678	121291080	6.96489882327872	TCGA-04-1347
1	142702814	162881307	7.581599793308	TCGA-04-1347
1	162883623	165256640	7.7648934466039	TCGA-04-1347
1	165258004	175658531	6.646159986233	TCGA-04-1347
1	175660730	178466432	7.4640958842618	TCGA-04-1347
1	178466769	184372203	6.49622555526778	TCGA-04-1347
1	184386071	197946606	7.56673576023811	TCGA-04-1347
1	197947173	214762344	6.54197662701781	TCGA-04-1347
1	214762466	219792920	7.38713499699206	TCGA-04-1347
1	219793052	237282672	6.42232351897379	TCGA-04-1347
1	237282751	239306580	7.67200411496081	TCGA-04-1347
1	239307432	241005265	9.0207597763323	TCGA-04-1347
1	241006953	244259965	7.8794632945133	TCGA-04-1347
1	244261112	247022188	7.30140071360614	TCGA-04-1347
1	247027204	249198692	6.60444904751325	TCGA-04-1347
2	15703	2645209	8.43315136889009	TCGA-04-1347
2	2646590	4154552	7.25035256140401	TCGA-04-1347
2	4154769	6041061	8.72285716094561	TCGA-04-1347
2	6041853	13069079	7.24579427825303	TCGA-04-1347
2	13073562	27178129	7.68074833052771	TCGA-04-1347
2	27179371	34017917	6.39966370751532	TCGA-04-1347
2	34028455	35859748	7.39479013201784	TCGA-04-1347
2	35863393	36404774	6.4991173706219	TCGA-04-1347
2	36408593	36498366	4.20952494206515	TCGA-04-1347
2	36503774	40032723	5.45944553590934	TCGA-04-1347
2	40044135	42004914	6.21163351761002	TCGA-04-1347
2	42004997	49212509	5.33394178919578	TCGA-04-1347
2	49217916	53222962	6.8325819591471	TCGA-04-1347
2	53223038	66133944	5.63643570683806	TCGA-04-1347
2	66135116	68047578	6.35918072797932	TCGA-04-1347
2	68048713	72263628	5.38392680446186	TCGA-04-1347
2	72264864	75395779	6.49101766799502	TCGA-04-1347
2	75398949	76552277	5.61256327424074	TCGA-04-1347
2	76552556	84433641	6.66336317022166	TCGA-04-1347
2	84433756	103760153	5.61198995966062	TCGA-04-1347
2	103761689	105480198	5.66894439307183	TCGA-04-1347
2	105490397	110327638	4.90488165367517	TCGA-04-1347
2	110341585	115074013	3.9484195350881	TCGA-04-1347
2	115079789	118093890	5.07576702746676	TCGA-04-1347
2	118094523	123359622	4.20123928855188	TCGA-04-1347
2	123362823	127531518	4.76551013020188	TCGA-04-1347
2	127531829	133091031	4.16739916799986	TCGA-04-1347
2	133101442	134236012	4.81671766121668	TCGA-04-1347
2	134237077	137643850	4.08676196088398	TCGA-04-1347
2	137644314	142858649	4.75285198083256	TCGA-04-1347
2	142862830	153404391	4.27572436910386	TCGA-04-1347
2	153404991	160347754	4.34996855001148	TCGA-04-1347
2	160374182	162512296	3.07412971833975	TCGA-04-1347
2	162532520	162910403	3.74662098150801	TCGA-04-1347
2	162916413	168547190	4.46707799974242	TCGA-04-1347
2	168549103	176284074	3.63950028906394	TCGA-04-1347
2	176286025	187816020	3.95625929699578	TCGA-04-1347
2	187825648	190387243	5.3838000005316	TCGA-04-1347
2	190389720	192704699	4.53179813515335	TCGA-04-1347
2	192712723	196001440	5.39750145752608	TCGA-04-1347
2	196001454	209471568	4.73401908652466	TCGA-04-1347
2	209471702	213345197	5.43951608396533	TCGA-04-1347
2	213349997	230352851	4.77336131095269	TCGA-04-1347
2	230352976	237751845	5.68667756017594	TCGA-04-1347
2	237752442	243048760	4.6792748087867	TCGA-04-1347
3	69244	6094373	2	TCGA-04-1347
3	6094918	9476070	2.27141554653854	TCGA-04-1347
3	9481593	10032259	2.94023543981651	TCGA-04-1347
3	10081545	18441329	2	TCGA-04-1347
3	18442437	22397185	2.3806112089471	TCGA-04-1347
3	22397945	24269690	2	TCGA-04-1347
3	24270796	27106365	2.3189475584086	TCGA-04-1347
3	27111904	27241219	1.14025073880809	TCGA-04-1347
3	27243225	27718184	3.30609640371845	TCGA-04-1347
3	27718427	27806852	2	TCGA-04-1347
3	27809342	28214790	2.23528423203846	TCGA-04-1347
3	28216402	28251937	2.5055531090138	TCGA-04-1347
3	28257665	59961159	3.0729778018273	TCGA-04-1347
3	59961304	71644727	3.42528050466938	TCGA-04-1347
3	71647281	72432968	2.8448423691454	TCGA-04-1347
3	72437413	73808757	2	TCGA-04-1347
3	73809294	79523567	2.4459653614341	TCGA-04-1347
3	79529060	80316867	3.62206832673217	TCGA-04-1347
3	80318048	88378348	2.40476270877116	TCGA-04-1347
3	88381469	89880144	3.64271852640039	TCGA-04-1347
3	89900478	97286061	6.93214197854578	TCGA-04-1347
3	97300717	108697403	6.08648134535976	TCGA-04-1347
3	108697523	111043298	7.10134694353664	TCGA-04-1347
3	111046070	114913626	5.721310630824	TCGA-04-1347
3	114926956	117755528	6.79585563823776	TCGA-04-1347
3	117756351	144330225	6.24671683667292	TCGA-04-1347
3	144339980	148576599	7.25452953746004	TCGA-04-1347
3	148576916	150307263	5.99725208589164	TCGA-04-1347
3	150307873	161564402	7.24407673006293	TCGA-04-1347
3	161565247	162797261	8.70990231806263	TCGA-04-1347
3	162807160	169168595	11.1638342838814	TCGA-04-1347
3	169171618	172999766	9.1545206064286	TCGA-04-1347
3	173002125	177991895	10.4612188113571	TCGA-04-1347
3	177994732	180691661	10.4871716114473	TCGA-04-1347
3	180699321	189953852	9.11365817277434	TCGA-04-1347
3	189954280	197846636	10.1085204225139	TCGA-04-1347
4	68911	18629248	4.00667751857204	TCGA-04-1347
4	18629591	24056627	4.86896039173162	TCGA-04-1347
4	24057266	27509621	4.02713630162627	TCGA-04-1347
4	27521381	35252743	4.90219228148701	TCGA-04-1347
4	35255006	37464347	4.14104377083883	TCGA-04-1347
4	37468017	42962993	3.75600455240204	TCGA-04-1347
4	42963537	49063479	4.34263813069985	TCGA-04-1347
4	49584109	55259169	3.04653142586881	TCGA-04-1347
4	55259607	57678832	4.17350720857348	TCGA-04-1347
4	57689859	67814028	3.66580366724792	TCGA-04-1347
4	67815504	72786422	3.18346772038902	TCGA-04-1347
4	72791892	89995798	4.56757823418857	TCGA-04-1347
4	89998258	98968118	5.19990292423825	TCGA-04-1347
4	98979322	100760606	4.59229990234547	TCGA-04-1347
4	100767903	125294548	2.10889317555693	TCGA-04-1347
4	125303951	138367353	2.41714042704171	TCGA-04-1347
4	138367672	147864614	2	TCGA-04-1347
4	147865105	148113007	1.04052042278657	TCGA-04-1347
4	148126282	155825382	2	TCGA-04-1347
4	155827990	163464386	2.31038801160759	TCGA-04-1347
4	163479062	163624251	1.18182269393358	TCGA-04-1347
4	163628460	184376851	2.21940699945382	TCGA-04-1347
4	184378163	187179803	2	TCGA-04-1347
4	187181863	190921709	2.47853758098148	TCGA-04-1347
5	28949	2565830	4.03449999961496	TCGA-04-1347
5	2567168	5437016	4.76744199563464	TCGA-04-1347
5	5452839	17764192	4.25610537897068	TCGA-04-1347
5	17764607	31679565	4.95104080900712	TCGA-04-1347
5	31680821	32122596	2.46548136269722	TCGA-04-1347
5	32123788	46383335	4.15115343011132	TCGA-04-1347
5	49560859	50372657	4.78043254800959	TCGA-04-1347
5	50373098	54223263	3.35096873177042	TCGA-04-1347
5	54224659	55889772	2.78494701356804	TCGA-04-1347
5	55892229	55951138	3.37007485057543	TCGA-04-1347
5	55952402	83312085	3.03456811025263	TCGA-04-1347
5	83312163	85452264	3.64196076791774	TCGA-04-1347
5	85452278	113023119	3.22538460050455	TCGA-04-1347
5	113023439	119967945	3.47704768600157	TCGA-04-1347
5	119972997	121448434	3.96297108958324	TCGA-04-1347
5	121452158	126458126	3.47238225460046	TCGA-04-1347
5	126463639	129661649	5.30396403438795	TCGA-04-1347
5	129661732	143535539	4.62560963555021	TCGA-04-1347
5	143536704	155909073	4.94140990658817	TCGA-04-1347
5	155912576	161499455	4.69287751281966	TCGA-04-1347
5	161515020	162044495	5.72716574642707	TCGA-04-1347
5	162056518	163747335	4.03115860831821	TCGA-04-1347
5	163753090	167152501	4.76339289808415	TCGA-04-1347
5	167153322	180696889	3.6974207649801	TCGA-04-1347
6	203249	8230881	5.54810494210664	TCGA-04-1347
6	8233002	10240374	6.32902592090644	TCGA-04-1347
6	10241822	16735665	5.46902467720336	TCGA-04-1347
6	16741237	23981765	7.07434658760852	TCGA-04-1347
6	23981943	44833913	6.28112684439304	TCGA-04-1347
6	44837356	49052501	6.93977646967368	TCGA-04-1347
6	49054765	54709795	4.9124203000086	TCGA-04-1347
6	54709851	56068768	6.40392375549702	TCGA-04-1347
6	56075487	56105973	12.6776618425506	TCGA-04-1347
6	56107886	57160585	10.9244593599585	TCGA-04-1347
6	57160897	57256870	22.7897702614127	TCGA-04-1347
6	57323779	62324544	8.61397646980711	TCGA-04-1347
6	62324732	62362867	12.9880298563883	TCGA-04-1347
6	62369614	68894710	5.10693987745964	TCGA-04-1347
6	68895134	84547238	4.52789326382294	TCGA-04-1347
6	84565280	86504582	10.2062873299445	TCGA-04-1347
6	86506878	88147206	4.19364991724202	TCGA-04-1347
6	88147802	91328596	6.07521367344921	TCGA-04-1347
6	91329876	92841275	7.21618030853442	TCGA-04-1347
6	92849774	94131855	5.25217501777972	TCGA-04-1347
6	94133927	95841232	10.0245499314073	TCGA-04-1347
6	95841494	97640683	6.74215492278141	TCGA-04-1347
6	97645628	98342192	8.97827184943047	TCGA-04-1347
6	98350693	106013615	10.6881336908267	TCGA-04-1347
